time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-1.94982895819e-07,2.91178491665e-06,10.0052769115,0.000536653982475,7.98264174975e-05,0.0,-1.31392337786e-05,0.000168380167962,0.175885550462,-0.00931402981843,0.00211955861953,0.0,460.129048549871,460.29676929441695,460.85259821970334,460.11600001712327
0.12000000000000001,-2.45465205881e-05,2.2096269185e-05,10.0190266791,6.34201939675e-06,0.00615929687997,0.0,-0.00139830860328,0.000415446586259,0.282417812137,-0.0083086733594,0.0276724182308,0.0,438.4476669666803,440.5650779536247,438.47750929143893,438.56112725871736
0.18,-0.000260968460035,4.65649139877e-05,10.0405060919,6.28314626138,0.00974826306335,0.0,-0.00689343986281,0.000388329143781,0.433513715206,-0.00203764323343,0.0112121012823,0.0,454.06969528827045,452.7475293107106,452.20541203077136,452.7103003803193
0.23999999999999996,-0.000867122473535,0.000108843064828,10.0682353455,0.010444573648,0.0106595025684,0.0,-0.0134050526563,0.00272598064736,0.490766770541,-0.0389328478649,0.00452926283349,0.0,422.58853421382247,422.0120637397717,425.96229452137493,422.79585830841336
0.3,-0.00189839121004,0.000486614775422,10.1009499478,0.00950690476893,0.0118051437518,0.0,-0.0210790014108,0.00975680849987,0.599668398074,-0.0271239252872,0.0136397721861,0.0,440.17014732320257,440.92323127320816,438.98262553526604,439.96073730948046
0.36000000000000004,-0.00349560880679,0.00133807737619,10.1465897928,0.0110538929959,0.0135803581617,0.0,-0.032414688523,0.0188071296542,0.92145169193,-0.00876968483511,0.00165742182974,0.0,503.0841499341129,502.2157985857537,502.3153713520666,503.6444639112945
0.4200000000000001,-0.00573135123223,0.00270051704738,10.205097964,0.0116764660898,0.0156887609216,0.0,-0.0423113687814,0.0266840309152,1.02872588113,-0.021771846762,0.0160303368023,0.0,439.6949463293796,440.8838348138227,440.4720598639003,439.39570982820135
0.48000000000000015,-0.00866185532616,0.00458206336046,10.2734135912,0.0109331888233,0.0179791292954,0.0,-0.0556594880851,0.0359540271452,1.24824366933,-0.0312788276823,0.00214704515412,0.0,474.8585320252867,473.7923471528395,474.88458095600873,474.1547970383419
0.5400000000000001,-0.0124892348424,0.00704899347084,10.3577387046,0.0140033137429,0.0180992942011,0.0,-0.0719300447562,0.0466520484432,1.56221336981,-0.00808500669254,0.00158028100714,0.0,502.30110013715995,502.2599593523856,500.4419117075076,502.12712180652846
0.6000000000000002,-0.0171964681219,0.0101913734184,10.4553930002,0.023704197428,0.0183137342021,0.0,-0.0849944534261,0.0591629465068,1.69272557896,-0.0442673320956,0.00435458485983,0.0,448.82879308821066,449.0538281389248,450.39882386789725,447.46311958776323
0.6600000000000003,-0.0226914464755,0.0142646816267,10.5606314141,0.0277259885584,0.0192478614696,0.0,-0.0982774151224,0.0770641503083,1.81502047518,-0.0738010231902,-0.00591078913045,0.0,447.07025579358003,446.2331068915776,448.2000825174457,445.7914931651032
0.7200000000000003,-0.0290040811701,0.0194677206947,10.6732116438,0.0243581727907,0.0207120915565,0.0,-0.112279950409,0.0960232951472,1.93745933544,-0.0863448112926,0.00771172198549,0.0,446.6622230499835,447.7717534459347,447.87148194388055,446.8453422996222
0.7800000000000004,-0.0362037933537,0.0257494716765,10.7940366926,0.0191680308982,0.0211634443255,0.0,-0.127756408079,0.112794009138,2.08978720913,-0.0880993599868,0.00623268355835,0.0,457.8675624181849,457.7497729351944,456.0733361953068,455.9271437547697
0.8400000000000004,-0.0444284696003,0.0329508522599,10.92561034,0.0139608380932,0.0340497604233,0.0,-0.147861770789,0.126628514315,2.2955817103,-0.085999366137,0.0438001748959,0.0,472.1688818769171,475.0581614528813,473.2508797672743,473.4066640920266
0.9000000000000005,-0.0540950405383,0.0408324326141,11.0661118265,0.0133194947314,0.0593195166955,0.0,-0.176950103402,0.136046715615,2.38749739981,-0.110516813378,-0.00953869175139,0.0,441.34142829149715,436.917373331724,441.23513061635106,439.19878303957086
0.9600000000000005,-0.0659442703174,0.0492454991649,11.2123713682,0.00697691364679,0.0607540597789,0.0,-0.218143565798,0.143733284457,2.48760361333,-0.105713101366,0.00482616937997,0.0,442.22467665957817,443.4063910582329,442.7069471059249,443.0915190388639
1.0200000000000005,-0.0804454525285,0.0580200679964,11.3668953519,0.00454853153538,0.0652723029429,0.0,-0.265692239566,0.148500788038,2.66276915289,-0.128620282762,0.0261845471345,0.0,466.13770632658776,467.80365705979415,466.6956453965104,464.8934441530449
1.0800000000000005,-0.0978579029509,0.0670003472997,11.5314000486,6.28019497328,0.0668314332377,0.0,-0.31487268279,0.150013042959,2.820330177,-0.134600700115,0.0250690272764,0.0,461.7827583640238,461.6948555827738,462.4324340950046,461.94617228513755
1.1400000000000006,-0.118238689148,0.0759328968586,11.7049692378,6.28032022301,0.0701768339505,0.0,-0.36484391963,0.147721535516,2.96490993346,-0.104407304055,0.00895617474316,0.0,458.73811731841676,457.4568417991063,458.42231288161764,460.8016951608199
1.2000000000000006,-0.141759767349,0.0847057057414,11.8883520231,6.27474680059,0.0707327593885,0.0,-0.41922268732,0.144082141312,3.14734955992,-0.114792957093,0.00967101462869,0.0,471.2851550781679,471.3402760132449,471.188351152635,470.37523283453015
1.2600000000000007,-0.168446148586,0.09315101989,12.0808596499,6.2703223136,0.075510100314,0.0,-0.470827665098,0.136949227957,3.26917598839,-0.0987596145374,-0.0140031355678,0.0,454.95324610115466,453.0537063559659,452.9220882074905,454.1994683728387
